DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Qatar,17,Race,True
81,PIA,McLaren,6.0,2.0,Finished,2023,Qatar,17,Race,True
4,NOR,McLaren,10.0,3.0,Finished,2023,Qatar,17,Race,True
63,RUS,Mercedes,2.0,4.0,Finished,2023,Qatar,17,Race,True
16,LEC,Ferrari,5.0,5.0,Finished,2023,Qatar,17,Race,True
14,ALO,Aston Martin,4.0,6.0,Finished,2023,Qatar,17,Race,True
31,OCO,Alpine,8.0,7.0,Finished,2023,Qatar,17,Race,True
77,BOT,Alfa Romeo,9.0,8.0,Finished,2023,Qatar,17,Race,True
24,ZHO,Alfa Romeo,19.0,9.0,Finished,2023,Qatar,17,Race,True
11,PER,Red Bull Racing,20.0,10.0,Finished,2023,Qatar,17,Race,True
18,STR,Aston Martin,16.0,11.0,Finished,2023,Qatar,17,Race,True
10,GAS,Alpine,7.0,12.0,Finished,2023,Qatar,17,Race,True
23,ALB,Williams,13.0,13.0,Finished,2023,Qatar,17,Race,True
20,MAG,Haas F1 Team,18.0,14.0,Lapped,2023,Qatar,17,Race,True
22,TSU,AlphaTauri,11.0,15.0,Lapped,2023,Qatar,17,Race,True
27,HUL,Haas F1 Team,14.0,16.0,Lapped,2023,Qatar,17,Race,True
40,LAW,AlphaTauri,17.0,17.0,Lapped,2023,Qatar,17,Race,True
2,SAR,Williams,15.0,18.0,Retired,2023,Qatar,17,Race,False
44,HAM,Mercedes,3.0,19.0,Retired,2023,Qatar,17,Race,False
55,SAI,Ferrari,12.0,20.0,Did not start,2023,Qatar,17,Race,False
1,VER,Red Bull Racing,6.0,1.0,Finished,2023,United States,18,Race,True
4,NOR,McLaren,2.0,2.0,Finished,2023,United States,18,Race,True
55,SAI,Ferrari,4.0,3.0,Finished,2023,United States,18,Race,True
