Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
SAI,2023,10,5.333,5.8,0.0,92.807,75.597,80.543,28.859,23.42,23.834,5.667,5.2,0.0,28.62,22.9,23.33,British,5.0,0.428,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,10.0
SAR,2023,10,17.667,18.2,0.2,93.322,77.148,82.131,28.843,22.863,27.711,10.667,11.8,0.2,29.24,23.17,26.17,British,14.0,2.311,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,11.0
BOT,2023,10,14.667,13.6,0.0,93.558,76.597,81.478,29.656,23.854,25.034,14.333,14.4,0.0,30.47,23.73,24.3,British,20.0,3.078,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,12.0
HUL,2023,10,16.667,16.4,0.2,93.315,76.623,81.443,30.03,22.411,24.282,18.333,17.6,0.2,30.03,23.49,25.87,British,11.0,2.176,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,13.0
STR,2023,10,8.0,11.2,0.2,93.261,75.95,80.073,28.609,22.572,22.99,7.0,6.4,0.0,28.62,22.47,35.55,British,12.0,2.215,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,14.0
ZHO,2023,10,12.333,13.2,0.0,93.49,76.416,81.427,30.744,23.399,23.746,13.0,13.0,0.0,30.47,23.73,24.3,British,17.0,3.403,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,15.0
TSU,2023,10,15.0,14.2,0.0,93.388,76.317,81.403,28.461,23.732,25.411,18.0,16.4,0.0,28.43,23.02,24.18,British,16.0,3.305,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,16.0
DEV,2023,10,16.333,15.8,0.0,93.557,76.889,81.621,28.39,22.121,22.835,17.333,16.8,0.0,28.43,23.02,24.18,British,18.0,3.793,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,17.0
GAS,2023,10,10.667,9.4,0.0,93.401,76.058,80.848,28.5,23.71,24.101,12.0,10.8,0.0,28.5,23.67,23.86,British,10.0,0.969,18,5676.15,52.0,30.94,21.47,0.0,True,True,False,18.0
VER,2023,11,1.0,1.0,0.0,83.425,79.331,80.01,21.515,24.332,23.958,3.333,3.4,0.0,21.45,24.08,24.18,Hungarian,2.0,0.003,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,1.0
NOR,2023,11,6.333,9.0,0.0,83.949,80.068,80.768,21.531,24.548,26.037,7.333,7.8,0.0,21.55,24.96,25.68,Hungarian,3.0,0.085,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,2.0
PER,2023,11,5.0,7.0,0.0,83.876,79.926,80.622,21.39,23.817,24.036,2.667,2.4,0.0,21.45,24.08,24.18,Hungarian,9.0,0.436,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,3.0
HAM,2023,11,4.667,4.0,0.0,83.919,79.873,80.523,21.844,25.07,24.682,5.333,8.4,0.2,21.8,32.11,29.21,Hungarian,1.0,0.0,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,4.0
PIA,2023,11,10.333,10.8,0.0,84.379,80.387,81.062,21.57,25.252,24.842,2.667,5.6,0.0,21.55,24.96,25.68,Hungarian,4.0,0.296,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,5.0
RUS,2023,11,10.333,7.8,0.2,84.32,80.357,80.836,21.75,46.367,38.425,4.0,5.4,0.0,21.8,32.11,29.21,Hungarian,18.0,2.418,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,6.0
